Ticker,Pre-ChatGPT Quarter Date,Pre-ChatGPT Quarter Revenue,Most Recent Quarter Date,Most Recent Quarter Revenue,Revenue Change ($),Revenue Change (%),Note
CHGG,2022-09-30,164739000,2025-09-30,77742000,-86997000,-52.8,
TTEC,2022-09-30,592453000,2025-09-30,519143000,-73310000,-12.4,
GETY,2022-09-30,230474000,2025-09-30,240044000,9570000,4.2,
ZIP,2022-09-30,226968000,2025-09-30,114982000,-111986000,-49.3,
TBI,2022-09-25,575721000,2025-09-28,431266000,-144455000,-25.1,
LON:RWS,FY 2022-09-30,749200000,FY 2025-09-30,690100000,-59100000,-7.9,Annual (GBP)
CNXC,2022-08-31,1579602000,2025-08-31,2483253000,903651000,57.2,
MAN,2022-09-30,4800900000,2025-09-30,4634400000,-166500000,-3.5,
RHI,2022-09-30,1833455000,2025-09-30,1354477000,-478978000,-26.1,
SSTK,2022-09-30,204096000,2025-09-30,260094000,55998000,27.4,
LON:WPP,FY 2022-12-31,14429000000,FY 2024-12-31,14741000000,312000000,2.2,Annual (GBP)
FVRR,2022-09-30,82500000,2025-09-30,107903000,25403000,30.8,20-F quarterly
ASGN,2022-09-30,1197900000,2025-09-30,1011400000,-186500000,-15.6,
COUR,2022-09-30,136389000,2025-09-30,194200000,57811000,42.4,
TEP,FY 2023-03-31,2475200000,FY 2025-03-31,1838200000,-637000000,-25.7,Annual (GBP)
KELYA,2022-10-02,1167900000,2025-09-28,935000000,-232900000,-19.9,
AMS:WKL,FY 2022-12-31,5453000000,FY 2025-12-31,6125000000,672000000,12.3,Annual (EUR)
HRB,2022-09-30,179985000,2025-12-31,198865000,18880000,10.5,
ADBE,2022-09-02,4433000000,2025-08-29,5988000000,1555000000,35.1,
LZ,2022-09-30,154416000,2025-09-30,190158000,35742000,23.1,
G,2022-09-30,1111037000,2025-09-30,1291257000,180220000,16.2,
CTSH,2022-09-30,4857000000,2025-09-30,5415000000,558000000,11.5,
OMC,2022-09-30,3443400000,2025-09-30,4037100000,593700000,17.2,
BBSI,2022-09-30,273822000,2025-09-30,318949000,45127000,16.5,
KFY,2022-10-31,735719000,2025-10-31,729800000,-5919000,-0.8,
IBEX,2022-09-30,127805000,2025-12-31,164221000,36416000,28.5,
UPWK,2022-09-30,158641000,2025-09-30,201730000,43089000,27.2,
RELX,FY 2022-12-31,8553000000,FY 2024-12-31,9434000000,881000000,10.3,Annual (GBP)
SEMR,2022-09-30,65793000,2025-09-30,112075000,46282000,70.3,
NWSA,2022-09-30,2478000000,2025-12-31,2362000000,-116000000,-4.7,
PUBGY,FY 2022-12-31,14196000000,FY 2025-12-31,17399000000,3203000000,22.6,Annual (EUR)
RCRUY,FY 2023-03-31,3429519000000,FY 2025-03-31,3557478000000,127959000000,3.7,Annual (JPY)
IPG,2022-09-30,4011000000,2025-09-30,4059000000,48000000,1.2,
DAVA,2022-09-30,200200000,2025-09-30,178187000,-22013000,-11.0,20-F quarterly
EPAM,2022-09-30,1226920000,2025-09-30,1394373000,167453000,13.6,
EXFY,2022-09-30,42493000,2025-09-30,35065000,-7428000,-17.5,
